	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
3650	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-23802
3652	???	??? Unknown instrument category because data is not available for checking 	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47122
3661	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-02935
3662	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-85934
3665	ZKB	"ZKB VIZ model 1492-520 NWS 1680 MHz ART ""B"" Accu-Lok {1988} 31313=01102  (T=004,W3=11,W2=28) NWS stock no. J060, 0.25 sec time sequenced [F=T1680AL,"	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-70414
3670	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-23955
3674	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-08190
3675	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20001-0-53068
3676	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-14240
3677	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-71964
3680	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-03-20	2013-02-14	0-20000-0-87418
3685	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-25913
3689	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-16754
3690	ZMW	ZMW exact type insufficiently documented	49	VIZ MARK II (United States)              	2012-12-30	2013-01-01	0-20000-0-72393
3691	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-30935
3692	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	51	VIZ-B2 (United States)                	2012-12-31	2013-01-01	0-20000-0-70350
3693	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20001-0-56187
3694	BII	BII Italy Autovox IA/AMT-1680B carbon hygristor radiosonde {late 1960s}  (W1=25 called Autovox 1680 IP and TR)	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-16080
3695	???	??? Unknown instrument category because data is not available for checking 	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-10868
3697	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-94659
3700	VFL	VFL Vaisala RS80 Autosonde auto corr, LoRAN wind 31313=46606  [F=T403FL,P=Ac,T=CB,U=A,N=L]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-03238
3708	FGC	FGC France Geolink-Modem M2K2-DC 1680 MHz improved radiation protection {2006} 31313=45708  [F=T1680DL,P=0,T=TC,U=A,N=GC]	117	Graw DFM-09 (Germany)                            	2012-12-28	2013-01-01	0-20000-0-43279
3713	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70200
3715	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72786
3716	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-89625
3719	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-44212
3723	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	51	VIZ-B2 (United States)                	2012-12-30	2013-01-01	0-20001-0-78988
3726	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-10184
3728	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72451
3730	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-78526
3732	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-47582
3733	VNl	VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-01001
3734	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-48698
3738	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-47827
3739	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-26477
3740	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	51	VIZ-B2 (United States)                	2012-08-08	2013-02-14	0-20000-0-78073
3742	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-47418
3743	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-04339
3745	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83937
3748	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-10739
3749	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20001-0-72327
3752	DGA	DGA Germany Graw DFM90 radiosonde auto rad corr, RDF wind {1990} 31313=45002  (DFM = Digital, Flexible, Modular) (W3=50) [F=T402-406DL,P=Ac,T=TB,U=A,W=Ra(or W=Da)]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-10238
3756	ZSg	ZSg Sippican LMS6 model 1848-___ radiosonde 400-406 MHz GPS {2005}  [F=T400-406DL,P=0,T=TC,U=A,N=G] (W3=111 or 11 reused, should be 31313=51108 starting 20080101	111	Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          	2012-12-30	2013-01-01	0-20000-0-78016
3757	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-30309
3759	C9	[21|24] VIZ Jinyang (Korea)	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47138
3761	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-76692
3763	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-10618
3765	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-98223
3767	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72634
3771	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-16320
3772	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24343
3773	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-32061
3774	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-31300
3778	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-97980
3780	89	MARL-A or Vektor-M-BAR (Russian Federation)              	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-36883
3783	RV5	RV5 Russia AVK-RF95 or RF95-L74 1780 MHz Vaisala sensors radiosonde {1997} 31313=55303  (W3=53) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-27612
3786	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-23	2013-01-06	0-20000-0-91517
3787	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72250
3789	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-03918
3790	G4	[23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)	177	Modem GPSonde M10 (France)                           	2012-12-30	2013-01-01	0-20000-0-78897
3795	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20001-0-57816
3797	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-29	2013-01-01	0-20000-0-94332
3799	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	51	VIZ-B2 (United States)                	2012-12-30	2013-01-01	0-20000-0-70231
3801	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-22217
3803	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	131	Taiyuan GTS1-1/GFE(L) (China )                           	2012-12-31	2013-01-01	0-20001-0-53772
3804	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91765
3806	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72562
3807	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20300-0-35671
3809	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24959
3887	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71203
3923	57	Modem M2K2-DC (France)                	57	Modem M2K2-DC (France)                	2012-12-29	2013-01-01	0-20000-0-41169
3927	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-22820
3939	UIa	UIa USA InterMet iMet-1-AA no pressure C/A GPS 403-MHz radiosonde {2004} 31313=50708(?)  [F=T400.15-406DL,P=0,T=TB,U=A(made by Humeriel, France),N=G]	123	Vaisala RS41/DigiCORA MW41 (Finland)                           	2012-12-31	2013-01-01	0-20000-0-41923
3942	AH	[52,66,67|--] Vaisala RS80 H-Humicap with dry bias from contamination from packaging (WC+2002  TOGA COARE in late 1992 was first large use of	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91334
3948	89	MARL-A or Vektor-M-BAR (Russian Federation)              	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-28695
3950	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-52533
3951	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71043
3955	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-85442
3964	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71109
3967	V9l	V9l Vaisala RS90 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=47106  [F=T403DL,P=Sc,T=Wc,U=2Ah,N=L]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-11010
3968	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-10-04	2013-01-15	0-20000-0-16113
3974	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-10035
3983	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71082
3985	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91165
3988	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-16245
3990	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-23884
3991	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20001-0-28661
3993	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-94510
3997	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20001-0-71915
4004	80	Vaisala RS92/Digicora III (Finland)               	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-16045
4016	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72364
4017	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72208
4019	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-02185
4021	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-16429
4022	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20001-0-54218
4027	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-02591
4028	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72764
4029	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72214
4030	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72681
4034	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-94776
4035	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72645
4038	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-20046
4039	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72797
4041	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-02836
